group1	day1	celltype1	group2	day2	celltype2	valtype	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
f.	NA	NA	alue	NA	NA	NA	149.3244	149.3244	471.8860	189.5825	149.3244	310.3017	149.3244	157.0320	158.0880	263.5554	217.8700	263.5554	157.0320	158.0880	368.6221
p.	NA	NA	alue	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTRL	12	M1	ADJ	16	M1	p	0.00000000	0.00000000	0.04129706	0.40477944	0.00000000	0.00000000	0.00000000	0.00000000	0.50299003	0.72149556	0.25347433	0.72149556	0.00000000	0.50299003	0.00000000
CTRL	16	M1	ADJ	16	M1	p	0.9990389	0.9990389	0.9041353	0.4614046	0.9990389	1.0000000	0.9990389	0.9999966	0.9240823	0.8012773	0.9944675	0.8012773	0.9999966	0.9240823	1.0000000
NEO	12	M1	ADJ	16	M1	p	0.000000e+00	0.000000e+00	8.329485e-01	6.211530e-01	0.000000e+00	4.352131e-06	0.000000e+00	0.000000e+00	5.121992e-01	8.737195e-01	4.527917e-01	8.737195e-01	0.000000e+00	5.121992e-01	0.000000e+00
NEO	16	M1	ADJ	16	M1	p	0.05521026	0.05521026	0.92798969	0.99358249	0.05521026	0.99545892	0.05521026	0.15311932	0.99999974	0.99793521	1.00000000	0.99793521	0.15311932	0.99999974	0.99999679
CTRL	12	M2	ADJ	16	M2	p	0.9990768	0.9990768	0.0000000	0.0000000	0.9990768	0.0000000	0.9990768	1.0000000	0.0000000	0.0000000	0.0000000	0.0000000	1.0000000	0.0000000	0.0000000
CTRL	16	M2	ADJ	16	M2	p	1.0000000	1.0000000	0.9989796	0.9999998	1.0000000	1.0000000	1.0000000	1.0000000	0.9999983	1.0000000	0.9999994	1.0000000	1.0000000	0.9999983	0.9801856
NEO	12	M2	ADJ	16	M2	p	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0
NEO	16	M2	ADJ	16	M2	p	0.029935690	0.029935690	0.000000000	0.000000000	0.029935690	0.000000000	0.029935690	0.004642931	0.000000000	0.000000000	0.000000000	0.000000000	0.004642931	0.000000000	0.000000000
CTRL	12	M3	ADJ	16	M3	p	0.9828329	0.9828329	1.0000000	1.0000000	0.9828329	0.9999974	0.9828329	0.9804179	1.0000000	1.0000000	1.0000000	1.0000000	0.9804179	1.0000000	0.9999823
CTRL	16	M3	ADJ	16	M3	p	1.00000000	1.00000000	0.88671963	0.09759634	1.00000000	0.60363734	1.00000000	0.99999995	0.34612791	0.16256395	0.74790047	0.16256395	0.99999995	0.34612791	0.82392838
NEO	12	M3	ADJ	16	M3	p	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NEO	16	M3	ADJ	16	M3	p	0.9999825	0.9999825	1.0000000	1.0000000	0.9999825	0.9982368	0.9999825	0.9998246	1.0000000	1.0000000	1.0000000	1.0000000	0.9998246	1.0000000	0.9999952
CTRL	12	M4	ADJ	16	M4	p	0.000000e+00	0.000000e+00	5.311050e-04	3.989530e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.785797e-02	1.000000e+00	2.785797e-02	0.000000e+00	1.000000e+00	5.835119e-06
CTRL	16	M4	ADJ	16	M4	p	0.000000e+00	0.000000e+00	7.172964e-01	9.999636e-01	0.000000e+00	1.211018e-02	0.000000e+00	0.000000e+00	1.000000e+00	9.898525e-01	1.000000e+00	9.898525e-01	0.000000e+00	1.000000e+00	1.505297e-05
NEO	12	M4	ADJ	16	M4	p	0.0000000	0.0000000	1.0000000	0.9999994	0.0000000	0.0000000	0.0000000	0.0000000	1.0000000	0.9995789	1.0000000	0.9995789	0.0000000	1.0000000	0.0000000
NEO	16	M4	ADJ	16	M4	p	1.0000000	1.0000000	0.9990743	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000
CTRL	12	M5	ADJ	16	M5	p	0.0017026972	0.0017026972	0.2786944384	0.9909575686	0.0017026972	0.9326098426	0.0017026972	0.0007028326	0.9745604686	0.9490632141	0.7519785145	0.9490632141	0.0007028326	0.9745604686	0.8064158461
CTRL	16	M5	ADJ	16	M5	p	5.222894e-05	5.222894e-05	9.995321e-01	1.000000e+00	5.222894e-05	1.156318e-01	5.222894e-05	7.793228e-05	1.000000e+00	9.999998e-01	1.000000e+00	9.999998e-01	7.793228e-05	1.000000e+00	2.787858e-02
NEO	12	M5	ADJ	16	M5	p	2.419355e-01	2.419355e-01	0.000000e+00	2.289713e-05	2.419355e-01	1.000000e+00	2.419355e-01	3.063470e-01	4.875423e-05	0.000000e+00	2.415873e-07	0.000000e+00	3.063470e-01	4.875423e-05	1.000000e+00
NEO	16	M5	ADJ	16	M5	p	0.0025283536	0.0025283536	0.9999999493	1.0000000000	0.0025283536	0.0142489215	0.0025283536	0.0007815804	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0007815804	1.0000000000	0.0124422882
CTRL	12	M6	ADJ	16	M6	p	0.9990310	0.9990310	0.8070457	0.9999999	0.9990310	0.4111992	0.9990310	0.9956236	1.0000000	0.8870776	0.9614752	0.8870776	0.9956236	1.0000000	0.8170808
CTRL	16	M6	ADJ	16	M6	p	0.9999996	0.9999996	1.0000000	1.0000000	0.9999996	1.0000000	0.9999996	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000
NEO	12	M6	ADJ	16	M6	p	9.948383e-01	9.948383e-01	0.000000e+00	7.049469e-03	9.948383e-01	8.432732e-06	9.948383e-01	6.532401e-01	2.791798e-01	0.000000e+00	1.764366e-02	0.000000e+00	6.532401e-01	2.791798e-01	2.913946e-03
NEO	16	M6	ADJ	16	M6	p	1.0000000	1.0000000	0.6459390	0.8881712	1.0000000	0.9999981	1.0000000	1.0000000	0.9612904	0.9025103	0.9981183	0.9025103	1.0000000	0.9612904	1.0000000
CTRL	12	M7	ADJ	16	M7	p	1.00000000	1.00000000	0.09907991	0.09846176	1.00000000	0.91091707	1.00000000	1.00000000	0.20021806	0.15128530	0.26717017	0.15128530	1.00000000	0.20021806	0.90773088
CTRL	16	M7	ADJ	16	M7	p	1.000000000	1.000000000	0.003575527	0.088287016	1.000000000	0.999949540	1.000000000	1.000000000	0.514900269	0.007440068	0.707408968	0.007440068	1.000000000	0.514900269	0.999998655
NEO	12	M7	ADJ	16	M7	p	1.000000e+00	1.000000e+00	0.000000e+00	4.750389e-05	1.000000e+00	1.143276e-02	1.000000e+00	1.000000e+00	1.097104e-03	1.530211e-06	1.765614e-03	1.530211e-06	1.000000e+00	1.097104e-03	4.070284e-01
NEO	16	M7	ADJ	16	M7	p	1.0000000	1.0000000	0.9999999	1.0000000	1.0000000	0.9999968	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000
CTRL	12	M8	ADJ	16	M8	p	1.000000e+00	1.000000e+00	0.000000e+00	1.539525e-06	1.000000e+00	2.163158e-02	1.000000e+00	1.000000e+00	6.186130e-06	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.186130e-06	1.933109e-01
CTRL	16	M8	ADJ	16	M8	p	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NEO	12	M8	ADJ	16	M8	p	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	4.368554e-07	1.000000e+00	9.996711e-01	1.872320e-08	0.000000e+00	0.000000e+00	0.000000e+00	9.996711e-01	1.872320e-08	4.875054e-05
NEO	16	M8	ADJ	16	M8	p	0.999999938	0.999999938	0.000000000	0.004432443	0.999999938	0.130565462	0.999999938	0.999999983	0.005276075	0.020667878	0.001925684	0.020667878	0.999999983	0.005276075	0.002090667
CTRL	12	M9	ADJ	16	M9	p	0.0001677353	0.0001677353	0.9999978967	1.0000000000	0.0001677353	0.0168439680	0.0001677353	0.0001473737	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0001473737	1.0000000000	0.0014961082
CTRL	16	M9	ADJ	16	M9	p	0.8939176	0.8939176	1.0000000	1.0000000	0.8939176	0.9730181	0.8939176	0.8849644	1.0000000	1.0000000	1.0000000	1.0000000	0.8849644	1.0000000	0.7806473
