feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Cd81	0	27.1911037891269	20.3266435459997	175761424.5	0.878234829555668	0	0	99.0939044481054	46.9876009996846
C1qa	0	140.324341021417	103.084004234481	175357857.748535	0.87621830984325	0	0	99.835255354201	66.6852692111712
Hexb	0	72.5671334431631	52.1219098486662	175258034.343506	0.875719517850917	0	0	99.9794069192751	74.4983379030888
C1qc	0	86.7149917627677	62.0563403663637	174200722.5	0.870436401323442	0	0	99.6499176276771	61.4369252420353
Mertk	0	16.8764415156507	12.2361095815523	172278744.5	0.860832769434126	0	0	99.0321252059308	41.1617693446243
Plxdc2	0	34.3688220757825	24.2171223693792	172219038	0.86053443134316	0	0	99.835255354201	43.1756969888142
C1qb	0	95.7397034596376	66.5066944576236	172126478	0.860071932725759	0	0	99.7734761120264	64.9479533157014
Ly86	0	47.620057660626	33.1915520919948	172113981.5	0.86000949091534	0	0	99.9176276771005	71.7710431174629
Trem2	0	20.0623970345964	14.4448977018616	171843057.5	0.858655753065073	0	0	98.3525535420099	52.5198359740859
Cx3cr1	0	23.6338550247117	16.535051249204	171698896.5	0.857935417464563	0	0	99.505766062603	51.9617596389489
Slc1a3	0	5.83010708401977	4.60231488252995	171330023	0.856092251045529	0	0	91.3509060955519	24.0118409239803
Ctsl	0	20.4367792421746	14.9546012886163	171205670.816406	0.855470895027995	0	0	98.7026359143328	56.5646761944047
Sparc	0	15.161449752883	10.7851364536813	170394900.5	0.851419683377524	0	0	97.8171334431631	34.9501370926649
Tanc2	0	23.8616144975288	15.8532433525018	170220893	0.850550212459553	0	0	99.4851729818781	34.6371290612185
Ophn1	0	12.2594728171334	8.60851316847889	170175230	0.850322046141852	0	0	98.1054365733114	37.9370586950719
Dst	0	8.4413097199341	5.99293178093427	170098138.5	0.849936839657805	0	0	97.4670510708402	37.2309708101813
Mir99ahg	0	10.2950988467875	7.52022198754404	169976956.5	0.849331324235875	0	0	94.8105436573311	25.3827675733385
Lgmn	0	43.3519357495881	28.3761999380724	169968774.5	0.849290440877107	0	0	99.9176276771005	68.5220682794264
Ctsd	0	86.5078253706754	61.8409484143752	169830778.588379	0.848600910644482	0	0	99.7116968698517	86.5212432970179
Cd9	0	22.1297364085667	15.4271425668178	169158925.573242	0.845243833174761	0	0	99.1144975288303	66.0883701744595
Tgfbi	1	16.0199349945829	13.310329166436	173559042	0.907212646936094	0	0	97.8764897074756	30.9813287016934
Lyz2	1	205.487540628386	168.091342432795	173054083.230957	0.904573170616231	0	0	100	72.4972258406909
Apoc2	1	10.1469122426869	9.34744777604917	169658502.5	0.886824087956414	0	0	88.169014084507	20.104211897525
Pla2g7	1	7.53261105092091	6.32797458640603	169543553.5	0.886223236595684	0	0	93.1744312026002	25.4547208954504
Fth1	1	248.511592632719	182.831272277627	168153362.5	0.878956551770028	0	0	100	98.4440584744536
Cstb	1	16.9165763813651	13.2875176656803	167208315.735352	0.87401668596439	0	0	98.3315276273023	65.7885849375211
Apoe	1	328.334344528711	261.934359002585	166740285.118164	0.87157023725061	0	0	99.5232936078006	81.4565542529068
Ftl1	1	105.611700975081	76.8747877700829	166693344.467773	0.871324873187758	0	0	100	95.479326482366
Lgals3	1	36.6422535211268	29.7913585532105	166336387.5	0.869459018941017	0	0	98.6998916576381	50.866020166932
Cyp4f18	1	4.73239436619718	3.87773619087031	165445835.00293	0.864804000805444	0	0	90.1408450704225	28.4411636995224
Cfb	1	9.06067172264355	7.31934398587509	165098063.5	0.862986160017283	0	0	92.0043336944745	31.5554590630578
Mmp14	1	4.27497291440953	3.48313135509077	165032560.760742	0.862643769826724	0	0	89.8808234019502	27.6016789694601
Ms4a7	1	7.5566630552546	7.08877093386704	164612919	0.860450255111842	0	0	78.9165763813651	10.7444396198196
Ms4a6c	1	16.6823401950163	11.839068134419	164530972.09082	0.860021909394278	0	0	98.9165763813651	54.421768707483
Ly6i	1	12.5438786565547	10.6119782368123	163911968	0.856786305341466	0	0	87.3889490790899	28.1589231437256
Npc2	1	39.2073672806067	25.6125875247327	163404114.529297	0.854131698090221	0	0	99.8916576381365	90.5919814734404
Myof	1	3.5646803900325	2.99115310677878	162046340.5	0.847034460419023	0	0	84.442036836403	18.4614271240411
Ms4a6d	1	6.56533044420368	4.70806697143869	162012569.615234	0.846857936203376	0	0	95.3629469122427	43.3733777198823
Clec12a	1	4.01560130010834	3.15983346105783	159911394	0.835874854771212	0	0	86.3705308775731	23.4983355044145
C3ar1	1	6.14842903575298	4.70453942317036	159877199.718262	0.835696117411934	0	0	90.7258938244854	38.6380083948473
Clec4d	10	9.22086148648649	8.95844186222159	94137767.5	0.909684556162361	0	0	86.0641891891892	9.94027596622503
S100a8	10	181.822212837838	181.524050324394	92686293.5	0.895658480161874	0	0	81.9256756756757	9.36363012288048
Slpi	10	16.4995777027027	15.3132661766507	90793232	0.877365197283506	0	0	80.6165540540541	10.3224182512986
S100a9	10	232.681165540541	232.448310457133	90277227.5	0.872378874184647	0	0	76.6047297297297	6.80991281664035
Gsr	10	6.41849662162162	5.43366789916676	89644376.2285156	0.86626342187145	0	0	90.2027027027027	36.0815541978444
Clec4e	10	6.93201013513514	6.66110100262101	87628994	0.846788113111395	0	0	75.0422297297297	8.752660122194
Slc7a11	10	8.64273648648649	8.49802583913288	87047113	0.8411652034835	0	0	71.3682432432432	5.7618818791332
